Question,Oprion 1,Option 2,Option 3,Option 4,Answer,Question_type,Diagram
&lt;p&gt;&amp;nbsp; &amp;nbsp; &amp;nbsp;The Standard unit for mass is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&amp;nbsp; gram&lt;/p&gt;,&lt;p&gt;&amp;nbsp; pound&lt;/p&gt;,&lt;p&gt;kilogram&lt;/p&gt;,&lt;p&gt;ounce&lt;/p&gt;,3,1,
&lt;p&gt;&amp;nbsp; &amp;nbsp; &amp;nbsp; Physical quantities obtained by combining two or more basic quantities are termed;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Derived&lt;/p&gt;,&lt;p&gt;Merged&lt;/p&gt;,&lt;p&gt;combined&lt;/p&gt;,&lt;p&gt;Fundamental&lt;/p&gt;,1,1,
&lt;p&gt;&amp;nbsp; &amp;nbsp; &amp;nbsp; The SI standard of time is based on:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the daily rotation of the earth&lt;/p&gt;,&lt;p&gt;the frequency of light emitted by Kr&lt;sup&gt;86&lt;/sup&gt;&lt;/p&gt;,&lt;p&gt;&amp;nbsp; the yearly revolution of the earth about the sun&lt;/p&gt;,&lt;p&gt;none of these&lt;/p&gt;,4,1,
&lt;p&gt;&amp;nbsp; &amp;nbsp; &amp;nbsp; A nanosecond is:&lt;/p&gt;&lt;p&gt;.&amp;nbsp;&lt;/p&gt;&lt;p&gt;&lt;b&gt;&amp;nbsp;&lt;/b&gt;&lt;/p&gt;,&lt;p&gt;&amp;nbsp; 10&lt;sup&gt;9&lt;/sup&gt; s&lt;/p&gt;,&lt;p&gt;10&lt;sup&gt;&amp;minus;9&lt;/sup&gt;&lt;b&gt; s&lt;/b&gt;&lt;/p&gt;,&lt;p&gt;10&lt;sup&gt;&amp;minus;10&lt;/sup&gt; s&lt;/p&gt;,&lt;p&gt;&amp;nbsp;10&lt;sup&gt;&amp;minus;10&lt;/sup&gt; s&lt;/p&gt;,2,1,
"&lt;p&gt;&amp;nbsp; &amp;nbsp; &amp;nbsp; For each equation, there must be consistency in the dimension of its parameters&lt;/p&gt;",&lt;p&gt;. False&lt;/p&gt;,&lt;p&gt;True&lt;/p&gt;,,,2,1,
&lt;p&gt;. What will be the velocity vector of a particle moving in a circle describing equal angles in equal times&lt;/p&gt;,&lt;p&gt;Changes in direction&lt;/p&gt;,&lt;p&gt;Remains constant&lt;/p&gt;,&lt;p&gt;Changes in magnitude&lt;/p&gt;,&lt;p&gt;Changes both in direction and magnitude&lt;/p&gt;,1,1,
&lt;p&gt;A body moves with a constant speed in a circular path is moving in a circular path with a constant speed. It has&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Constant velocity&lt;/p&gt;,&lt;p&gt;Acceleration of constant magnitude&lt;/p&gt;,&lt;p&gt;Constant acceleration&lt;/p&gt;,&lt;p&gt;An acceleration which varies with time&lt;/p&gt;,2,1,
&lt;p&gt;A motorcyclist going with a constant speed in a circular track has&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Linear velocity is constant&lt;/p&gt;,&lt;p&gt;Constant acceleration&lt;/p&gt;,&lt;p&gt;Angular velocity is constant&lt;/p&gt;,&lt;p&gt;Constant force&lt;/p&gt;,3,1,
&lt;p&gt;What could be the reason a car moving on a horizontal road gets thrown out of the road while taking a turn&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Due to the reaction of the ground&lt;/p&gt;,&lt;p&gt;Due to rolling frictional force between tyre and road&lt;/p&gt;,&lt;p&gt;By the gravitational force&lt;/p&gt;,&lt;p&gt;Due to lack of sufficient centripetal force&lt;/p&gt;,4,1,
&lt;p&gt;If a particle moves with constant angular velocity in a circle then during the motion its&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Momentum is conserved&lt;/p&gt;,&lt;p&gt;Energy is conserved&lt;/p&gt;,&lt;p&gt;Both energy and momentum is conserved&lt;/p&gt;,&lt;p&gt;one of the above is conserved&lt;/p&gt;,2,1,
